epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.1658,1.25495,4.1299,1.37988,0.00392,0.875,0.09412,0.06492,0.5515,3.29111,0.93144,7.69e-06,7.69e-06,7.69e-06
2,25.2277,1.01841,3.96126,1.32887,0.00488,0.875,0.0735,0.05906,0.55329,3.29067,0.9333,2.28416e-05,2.28416e-05,2.28416e-05
3,25.9337,1.32399,4.07954,1.54743,0.00648,0.875,0.07477,0.06082,0.55273,3.29014,0.94154,3.76887e-05,3.76887e-05,3.76887e-05
4,26.8102,1.23334,4.24444,1.51715,0.00977,0.875,0.08988,0.07592,0.4565,3.29138,0.89751,5.22312e-05,5.22312e-05,5.22312e-05
5,27.8309,0.78085,3.78235,1.18977,0.01178,0.875,0.12758,0.10985,0.37515,3.28985,0.87801,6.64693e-05,6.64693e-05,6.64693e-05
6,28.6143,0.78012,3.77396,1.19008,0.0152,0.875,0.1682,0.15004,0.31402,3.29055,0.87397,8.04028e-05,8.04028e-05,8.04028e-05
7,29.387,0.66238,3.67186,1.09872,0.03,0.75,0.27383,0.23182,0.30259,3.28787,0.8694,9.40318e-05,9.40318e-05,9.40318e-05
8,30.4157,0.70016,3.79888,1.22282,0.03285,0.75,0.32315,0.29408,0.31242,3.28722,0.85726,0.000107356,0.000107356,0.000107356
9,31.3881,0.71185,3.71733,1.2147,0.03006,0.75,0.33803,0.29236,0.33544,3.28685,0.86,0.000120376,0.000120376,0.000120376
10,32.313,0.80482,3.74617,1.29365,0.05966,0.875,0.35556,0.32176,0.36306,3.28438,0.8713,0.000133092,0.000133092,0.000133092
11,33.1662,0.67929,3.5813,1.12744,0.07225,0.875,0.35861,0.32621,0.39697,3.28266,0.8829,0.000145502,0.000145502,0.000145502
12,34.0992,0.56991,3.39437,1.04368,0.0698,1,0.37194,0.32882,0.44126,3.27801,0.88811,0.000157609,0.000157609,0.000157609
13,34.927,0.67645,3.4486,1.10312,0.05921,0.875,0.38142,0.34866,0.46119,3.27396,0.90644,0.000169411,0.000169411,0.000169411
14,35.7462,0.66538,3.53581,1.10754,0.05041,0.875,0.48195,0.44169,0.49341,3.26404,0.92003,0.000180908,0.000180908,0.000180908
15,36.5976,0.60449,3.48316,1.0859,0.05575,0.875,0.50614,0.46537,0.48528,3.2626,0.92094,0.000192101,0.000192101,0.000192101
16,37.4411,0.60453,3.3819,1.0752,0.05423,0.875,0.49809,0.45906,0.52335,3.24785,0.93097,0.000202989,0.000202989,0.000202989
17,38.3571,0.61236,3.28383,1.11183,0.06733,1,0.51077,0.46554,0.55712,3.23671,0.92767,0.000213573,0.000213573,0.000213573
18,39.3245,0.73851,3.36304,1.1386,0.05034,1,0.51218,0.45026,0.59126,3.21561,0.9525,0.000223852,0.000223852,0.000223852
19,40.2797,0.63257,3.34334,1.10331,0.04447,1,0.45412,0.3915,0.60248,3.19666,0.95603,0.000233827,0.000233827,0.000233827
20,41.1269,0.5582,3.06075,1.01745,0.04287,1,0.45744,0.40504,0.60887,3.1738,0.96382,0.000243497,0.000243497,0.000243497
