epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,50.0105,0.68208,1.55583,1.06741,0.90121,0.375,0.57434,0.51202,0.72855,2.46899,1.00784,0.000456863,0.000456863,0.000456863
43,50.6652,0.67045,1.65249,1.03683,0.93964,0.375,0.58854,0.52218,0.80249,2.63548,1.10557,0.00044925,0.00044925,0.00044925
44,51.3018,0.59934,1.35486,0.95354,0.95598,0.375,0.56635,0.50063,0.85764,3.00457,1.19241,0.000441637,0.000441637,0.000441637
45,51.9262,0.8253,1.71111,1.09228,0.95598,0.375,0.56635,0.50063,0.85764,3.00457,1.19241,0.000434024,0.000434024,0.000434024
46,52.5519,0.70221,1.30029,1.04439,0.96833,0.375,0.49981,0.40724,0.83421,2.97232,1.17019,0.000426411,0.000426411,0.000426411
47,53.3098,0.71066,1.51755,1.03551,0.96984,0.375,0.47935,0.42474,0.78675,2.7736,1.0922,0.000418797,0.000418797,0.000418797
48,53.992,0.72859,1.33954,1.04899,0.97594,0.375,0.54569,0.48075,0.81161,2.49514,1.05288,0.000411184,0.000411184,0.000411184
49,54.9358,0.68017,1.46154,1.04994,0.97594,0.375,0.54569,0.48075,0.81161,2.49514,1.05288,0.000403571,0.000403571,0.000403571
50,55.8883,0.72915,1.41229,1.07284,0.97228,0.375,0.54508,0.45131,0.83866,2.32504,1.04881,0.000395958,0.000395958,0.000395958
51,56.8375,0.80457,1.38535,1.09513,0.97197,0.375,0.53645,0.45249,0.85704,2.25888,1.06095,0.000388345,0.000388345,0.000388345
52,57.7841,0.76713,1.37668,1.11134,0.9745,0.375,0.53808,0.4391,0.86834,2.25558,1.07841,0.000380732,0.000380732,0.000380732
53,58.7433,0.64012,1.15663,1.01355,0.9745,0.375,0.53808,0.4391,0.86834,2.25558,1.07841,0.000373119,0.000373119,0.000373119
54,59.7663,0.68365,1.32539,1.06189,0.98475,0.375,0.54075,0.44132,0.86397,2.26033,1.10846,0.000365506,0.000365506,0.000365506
55,60.7072,0.67423,1.2992,1.00188,0.98972,0.375,0.55305,0.46521,0.83118,2.27286,1.12041,0.000357893,0.000357893,0.000357893
56,61.5022,0.68849,1.3435,1.02429,0.98748,0.375,0.59345,0.49281,0.76541,2.29632,1.07742,0.00035028,0.00035028,0.00035028
57,62.4606,0.617,1.28556,1.0607,0.98748,0.375,0.59345,0.49281,0.76541,2.29632,1.07742,0.000342666,0.000342666,0.000342666
